日期,单位净值,日增长率
2023-07-19,1.0,0.0
2023-07-21,0.9949,0.0
2023-07-28,1.0074,0.0
2023-08-01,1.0083,0.0
2023-08-04,0.9755,0.0
2023-08-07,0.984,0.87
2023-08-08,0.9745,-0.97
2023-08-09,0.9575,-1.74
2023-08-10,0.9576,0.01
2023-08-11,0.9452,-1.29
2023-08-14,0.968,2.41
2023-08-15,0.9581,-1.02
2023-08-16,0.9486,-0.99
2023-08-17,0.94,-0.91
2023-08-18,0.9384,-0.17
2023-08-21,0.9634,2.66
2023-08-22,0.9572,-0.64
2023-08-23,0.9778,2.15
2023-08-24,0.953,-2.54
2023-08-25,0.957,0.42
2023-08-28,0.9653,0.87
2023-08-29,0.9903,2.59
2023-08-30,0.996,0.58
2023-08-31,1.0029,0.69
2023-09-01,1.0026,-0.03
2023-09-04,1.0025,-0.01
2023-09-05,1.0065,0.4
2023-09-06,1.0,-0.65
2023-09-07,0.9882,-1.18
2023-09-08,0.9899,0.17
2023-09-11,0.9974,0.76
2023-09-12,0.9814,-1.6
2023-09-13,0.9867,0.54
2023-09-14,0.9945,0.79
2023-09-15,0.9681,-2.65
2023-09-18,0.972,0.4
2023-09-19,0.9676,-0.45
2023-09-20,0.9475,-2.08
2023-09-21,0.9292,-1.93
2023-09-22,0.933,0.41
2023-09-25,0.9375,0.48
2023-09-26,0.9226,-1.59
2023-09-27,0.9267,0.44
2023-09-28,0.9374,1.15
2023-10-09,0.974,3.9
2023-10-10,0.9784,0.45
2023-10-11,0.9896,1.14
2023-10-12,0.9888,-0.08
2023-10-13,0.9702,-1.88
2023-10-16,0.9818,1.2
2023-10-17,0.9751,-0.68
2023-10-18,0.9612,-1.43
2023-10-19,0.9537,-0.78
2023-10-20,0.9367,-1.78
2023-10-23,0.9427,0.64
2023-10-24,0.9508,0.86
2023-10-25,0.9181,-3.44
2023-10-26,0.8976,-2.23
2023-10-27,0.9035,0.66
2023-10-30,0.9114,0.87
2023-10-31,0.9138,0.26
2023-11-01,0.9339,2.2
2023-11-02,0.948,1.51
2023-11-03,0.9614,1.41
2023-11-06,0.9662,0.5
2023-11-07,0.9782,1.24
2023-11-08,0.9837,0.56
2023-11-09,0.9799,-0.39
2023-11-10,1.0079,2.86
2023-11-13,1.0031,-0.48
2023-11-14,1.0249,2.17
2023-11-15,1.0237,-0.12
2023-11-16,1.0315,0.76
2023-11-17,1.03,-0.15
2023-11-20,1.0438,1.34
2023-11-21,1.0324,-1.09
2023-11-22,1.0328,0.04
2023-11-23,1.0317,-0.11
2023-11-24,1.0263,-0.52
2023-11-27,1.0251,-0.12
2023-11-28,1.0287,0.35
2023-11-29,1.0271,-0.16
2023-11-30,1.0187,-0.82
2023-12-01,1.0191,0.04
2023-12-04,1.0026,-1.62
2023-12-05,1.0102,0.76
2023-12-06,1.0007,-0.94
2023-12-07,1.0237,2.3
2023-12-08,1.0293,0.55
2023-12-11,1.0368,0.73
2023-12-12,1.0486,1.14
2023-12-13,1.0566,0.76
2023-12-14,1.0552,-0.13
2023-12-15,1.0613,0.58
2023-12-18,1.0692,0.74
2023-12-19,1.0738,0.43
2023-12-20,1.0601,-1.28
2023-12-21,1.0751,1.41
2023-12-22,1.0749,-0.02
2023-12-25,1.0756,0.07
2023-12-26,1.0815,0.55
2023-12-27,1.0813,-0.02
2023-12-28,1.0813,0.0
2023-12-29,1.0746,-0.62
2023-12-31,1.0745,-0.01
2024-01-02,1.0457,-2.68
2024-01-03,1.0395,-0.59
2024-01-04,1.033,-0.63
2024-01-05,1.0368,0.37
2024-01-08,1.0662,2.84
2024-01-09,1.0728,0.62
2024-01-10,1.0847,1.11
2024-01-11,1.0897,0.46
2024-01-12,1.0916,0.17
2024-01-15,1.0915,-0.01
2024-01-16,1.104,1.15
2024-01-17,1.096,-0.72
2024-01-18,1.1153,1.76
2024-01-19,1.1473,2.87
2024-01-22,1.1488,0.13
2024-01-23,1.154,0.45
2024-01-24,1.1653,0.98
2024-01-25,1.1696,0.37
2024-01-26,1.1574,-1.04
2024-01-29,1.1704,1.12
2024-01-30,1.1596,-0.92
2024-01-31,1.1286,-2.67
2024-02-01,1.1422,1.21
2024-02-02,1.1755,2.92
2024-02-05,1.1824,0.59
2024-02-06,1.1749,-0.63
2024-02-07,1.1953,1.74
2024-02-08,1.1986,0.28
2024-02-19,1.1909,-0.64
2024-02-20,1.1773,-1.14
2024-02-21,1.1663,-0.93
2024-02-22,1.2214,4.72
2024-02-23,1.2184,-0.25
2024-02-26,1.2147,-0.3
2024-02-27,1.2169,0.18
2024-02-28,1.2062,-0.88
2024-02-29,1.2231,1.4
2024-03-01,1.2483,2.06
2024-03-04,1.2478,-0.04
2024-03-05,1.2249,-1.84
2024-03-06,1.2373,1.01
2024-03-07,1.2671,2.41
2024-03-08,1.2379,-2.3
2024-03-11,1.2284,-0.77
2024-03-12,1.2585,2.45
2024-03-13,1.2449,-1.08
2024-03-14,1.2418,-0.25
2024-03-15,1.2251,-1.34
2024-03-18,1.2392,1.15
2024-03-19,1.2419,0.22
2024-03-20,1.2591,1.38
2024-03-21,1.2644,0.42
2024-03-22,1.2738,0.74
2024-03-25,1.2674,-0.5
2024-03-26,1.2577,-0.77
2024-03-27,1.2583,0.05
2024-03-28,1.256,-0.18
2024-03-29,1.256,0.0
2024-04-01,1.2654,0.75
2024-04-02,1.256,-0.74
2024-04-03,1.2593,0.26
2024-04-08,1.2517,-0.6
2024-04-09,1.2553,0.29
2024-04-10,1.2484,-0.55
2024-04-11,1.2767,2.27
2024-04-12,1.254,-1.78
2024-04-15,1.231,-1.83
2024-04-16,1.2349,0.32
2024-04-17,1.214,-1.69
2024-04-18,1.2078,-0.51
2024-04-19,1.1703,-3.1
2024-04-22,1.1864,1.38
2024-04-23,1.2091,1.91
2024-04-24,1.21,0.07
2024-04-25,1.2027,-0.6
2024-04-26,1.2392,3.03
2024-04-29,1.2337,-0.44
2024-04-30,1.2097,-1.95
2024-05-06,1.263,4.41
2024-05-07,1.2609,-0.17
2024-05-08,1.2609,0.0
2024-05-09,1.2585,-0.19
2024-05-10,1.2629,0.35
2024-05-13,1.2669,0.32
2024-05-14,1.2789,0.95
2024-05-15,1.3073,2.22
2024-05-16,1.3041,-0.24
2024-05-17,1.3011,-0.23
2024-05-20,1.3161,1.15
2024-05-21,1.3177,0.12
2024-05-22,1.3179,0.02
2024-05-23,1.3239,0.46
2024-05-24,1.34,1.22
2024-05-27,1.3397,-0.02
2024-05-28,1.3571,1.3
2024-05-29,1.3496,-0.55
2024-05-30,1.3228,-1.99
2024-05-31,1.3185,-0.33
2024-06-03,1.3303,0.89
2024-06-04,1.3332,0.22
2024-06-05,1.3714,2.87
2024-06-06,1.3668,-0.34
2024-06-07,1.3663,-0.04
2024-06-11,1.3913,1.83
2024-06-12,1.4193,2.01
2024-06-13,1.4339,1.03
2024-06-14,1.445,0.77
2024-06-17,1.4605,1.07
2024-06-18,1.4638,0.23
2024-06-19,1.4639,0.01
2024-06-20,1.4434,-1.4
2024-06-21,1.4329,-0.73
2024-06-24,1.4063,-1.86
2024-06-25,1.4309,1.75
2024-06-26,1.4351,0.29
2024-06-27,1.4367,0.11
2024-06-28,1.4292,-0.52
2024-06-30,1.4291,-0.01
2024-07-01,1.4424,0.93
2024-07-02,1.4541,0.81
2024-07-03,1.473,1.3
2024-07-04,1.4729,-0.01
2024-07-05,1.4889,1.09
2024-07-08,1.4954,0.44
2024-07-09,1.4959,0.03
2024-07-10,1.5174,1.44
2024-07-11,1.4741,-2.85
2024-07-12,1.4804,0.43
2024-07-15,1.4855,0.34
2024-07-16,1.4779,-0.51
2024-07-17,1.4173,-4.1
2024-07-18,1.4142,-0.22
2024-07-19,1.3979,-1.15
2024-07-22,1.4272,2.1
2024-07-23,1.4237,-0.25
2024-07-24,1.36,-4.47
2024-07-25,1.3383,-1.6
2024-07-26,1.3518,1.01
2024-07-29,1.3511,-0.05
2024-07-30,1.326,-1.86
2024-07-31,1.3775,3.88
2024-08-01,1.3363,-2.99
2024-08-02,1.3042,-2.4
2024-08-05,1.2621,-3.23
2024-08-06,1.2755,1.06
2024-08-07,1.2611,-1.13
2024-08-08,1.3075,3.68
2024-08-09,1.3157,0.63
2024-08-12,1.3224,0.51
2024-08-13,1.3595,2.81
2024-08-14,1.3598,0.02
2024-08-15,1.3942,2.53
2024-08-16,1.3967,0.18
2024-08-19,1.4162,1.4
2024-08-20,1.4091,-0.5
2024-08-21,1.4155,0.45
2024-08-22,1.386,-2.08
2024-08-23,1.4064,1.47
2024-08-26,1.3815,-1.77
2024-08-27,1.3892,0.56
2024-08-28,1.3708,-1.32
2024-08-29,1.3661,-0.34
2024-08-30,1.3809,1.08
2024-09-02,1.379,-0.14
2024-09-03,1.3208,-4.22
2024-09-04,1.3162,-0.35
2024-09-05,1.3135,-0.21
2024-09-06,1.2731,-3.08
2024-09-09,1.2877,1.15
2024-09-10,1.3026,1.16
2024-09-11,1.3425,3.06
2024-09-12,1.356,1.01
2024-09-13,1.36,0.29
2024-09-18,1.3426,-1.28
2024-09-19,1.3855,3.2
2024-09-20,1.375,-0.76
2024-09-23,1.3727,-0.17
2024-09-24,1.3817,0.66
2024-09-25,1.3816,-0.01
2024-09-26,1.3993,1.28
2024-09-27,1.3841,-1.09
2024-09-30,1.3888,0.34
2024-10-08,1.4138,1.8
2024-10-09,1.4197,0.42
2024-10-10,1.4235,0.27
2024-10-11,1.426,0.18
2024-10-14,1.442,1.12
2024-10-15,1.415,-1.87
2024-10-16,1.4204,0.38
2024-10-17,1.4232,0.2
2024-10-18,1.4288,0.39
2024-10-21,1.4319,0.22
2024-10-22,1.4397,0.54
2024-10-23,1.4142,-1.77
2024-10-24,1.4189,0.33
2024-10-25,1.427,0.57
2024-10-28,1.4331,0.43
2024-10-29,1.4563,1.62
2024-10-30,1.4442,-0.83
2024-10-31,1.3951,-3.4
2024-11-01,1.4002,0.37
2024-11-04,1.3962,-0.29
2024-11-05,1.4106,1.03
2024-11-06,1.4457,2.49
2024-11-07,1.489,3.0
2024-11-08,1.4758,-0.89
2024-11-11,1.4715,-0.29
2024-11-12,1.4779,0.43
2024-11-13,1.4693,-0.58
2024-11-14,1.465,-0.29
2024-11-15,1.4252,-2.72
2024-11-18,1.4316,0.45
2024-11-19,1.4463,1.03
2024-11-20,1.4402,-0.42
2024-11-21,1.4387,-0.1
2024-11-22,1.4322,-0.45
2024-11-25,1.4355,0.23
2024-11-26,1.442,0.45
2024-11-27,1.428,-0.97
2024-11-28,1.4263,-0.12
2024-11-29,1.4379,0.81
2024-12-02,1.4596,1.51
2024-12-03,1.4701,0.72
2024-12-04,1.4921,1.5
2024-12-05,1.4805,-0.78
2024-12-06,1.4902,0.66
2024-12-09,1.485,-0.35
2024-12-10,1.4785,-0.44
2024-12-11,1.5127,2.31
2024-12-12,1.5002,-0.83
2024-12-13,1.5179,1.18
2024-12-16,1.5468,1.9
2024-12-17,1.5357,-0.72
2024-12-18,1.484,-3.37
2024-12-19,1.4784,-0.38
2024-12-20,1.4949,1.12
2024-12-23,1.5179,1.54
2024-12-24,1.5348,1.11
2024-12-25,1.5346,-0.01
2024-12-26,1.5358,0.08
2024-12-27,1.5152,-1.34
2024-12-30,1.4962,-1.25
2024-12-31,1.4804,-1.06
2025-01-02,1.4834,0.2
2025-01-03,1.507,1.59
2025-01-06,1.535,1.86
2025-01-07,1.5025,-2.12
2025-01-08,1.4993,-0.21
2025-01-09,1.4992,-0.01
2025-01-10,1.4741,-1.67
2025-01-13,1.4635,-0.72
2025-01-14,1.46,-0.24
2025-01-15,1.4953,2.42
2025-01-16,1.4816,-0.92
2025-01-17,1.5079,1.78
2025-01-20,1.5077,-0.01
2025-01-21,1.5122,0.3
2025-01-22,1.5369,1.63
2025-01-23,1.5389,0.13
2025-01-24,1.5325,-0.42
2025-01-27,1.4564,-4.97
2025-02-05,1.5032,3.21
2025-02-06,1.5135,0.69
2025-02-07,1.4935,-1.32
2025-02-10,1.5158,1.49
2025-02-11,1.5158,0.0
2025-02-12,1.5175,0.11
2025-02-13,1.5392,1.43
2025-02-14,1.5458,0.43
2025-02-17,1.5456,-0.01
2025-02-18,1.5474,0.12
2025-02-19,1.5456,-0.12
2025-02-20,1.5396,-0.39
2025-02-21,1.5006,-2.53
2025-02-24,1.4743,-1.75
2025-02-25,1.448,-1.78
2025-02-26,1.4625,1.0
2025-02-27,1.4097,-3.61
2025-02-28,1.4312,1.53
2025-03-03,1.3896,-2.91
2025-03-04,1.3929,0.24
2025-03-05,1.4147,1.57
2025-03-06,1.3723,-3.0
2025-03-07,1.3922,1.45
2025-03-10,1.3304,-4.44
2025-03-11,1.3328,0.18
2025-03-12,1.3546,1.64
2025-03-13,1.3277,-1.99
2025-03-14,1.3664,2.91
2025-03-17,1.3686,0.16
2025-03-18,1.3434,-1.84
2025-03-19,1.362,1.38
2025-03-20,1.359,-0.22
2025-03-21,1.3648,0.43
2025-03-24,1.3931,2.07
2025-03-25,1.3992,0.44
2025-03-26,1.3616,-2.69
2025-03-27,1.3434,-1.34
2025-03-28,1.3047,-2.88
2025-03-31,1.3026,-0.16
2025-04-01,1.316,1.03
2025-04-02,1.3232,0.55
2025-04-03,1.2384,-6.41
2025-04-07,1.1802,-4.7
2025-04-08,1.1597,-1.74
2025-04-09,1.3165,13.52
2025-04-10,1.2541,-4.74
2025-04-11,1.2814,2.18
2025-04-14,1.2852,0.3
2025-04-15,1.2858,0.05
2025-04-16,1.2427,-3.35
2025-04-17,1.2337,-0.72
2025-04-18,1.2335,-0.02
2025-04-21,1.2024,-2.52
2025-04-22,1.2314,2.41
2025-04-23,1.2683,3.0
2025-04-24,1.3128,3.51
2025-04-25,1.3344,1.65
2025-04-28,1.3309,-0.26
2025-04-29,1.3346,0.28
2025-04-30,1.3358,0.09
2025-05-06,1.3666,2.31
2025-05-07,1.3664,-0.01
2025-05-08,1.3837,1.27
2025-05-09,1.3823,-0.1
2025-05-12,1.446,4.61
2025-05-13,1.4774,2.17
2025-05-14,1.4923,1.01
2025-05-15,1.4856,-0.45
2025-05-16,1.4871,0.1
2025-05-19,1.4877,0.04
2025-05-20,1.4812,-0.44
2025-05-21,1.4657,-1.05
2025-05-22,1.4683,0.18
2025-05-23,1.4523,-1.09
2025-05-26,1.4505,-0.12
2025-05-27,1.4861,2.45
2025-05-28,1.4823,-0.26
2025-05-29,1.4884,0.41
2025-05-30,1.4844,-0.27
2025-06-03,1.5141,2.0
2025-06-04,1.5245,0.69
2025-06-05,1.5179,-0.43
2025-06-06,1.5305,0.83
2025-06-09,1.5363,0.38
2025-06-10,1.5476,0.74
2025-06-11,1.5458,-0.12
2025-06-12,1.5505,0.3
2025-06-13,1.526,-1.58
2025-06-16,1.5523,1.72
2025-06-17,1.5408,-0.74
2025-06-18,1.5413,0.03
2025-06-19,1.5406,-0.05
2025-06-20,1.5269,-0.89
2025-06-23,1.5406,0.9
2025-06-24,1.5665,1.68
2025-06-25,1.5823,1.01
2025-06-26,1.5962,0.88
2025-06-27,1.5999,0.23
2025-06-30,1.6115,0.73
2025-07-01,1.5883,-1.44
2025-07-02,1.6062,1.13
2025-07-03,1.6237,1.09
2025-07-04,1.6239,0.01
2025-07-07,1.6112,-0.78
2025-07-08,1.6158,0.29
2025-07-09,1.6326,1.04
2025-07-10,1.6293,-0.2
2025-07-11,1.6264,-0.18
2025-07-14,1.629,0.16
2025-07-15,1.6421,0.8
2025-07-16,1.644,0.12
2025-07-17,1.6544,0.63
2025-07-18,1.6547,0.02
2025-07-21,1.6662,0.69
2025-07-22,1.6482,-1.08
2025-07-23,1.6552,0.42
2025-07-24,1.6653,0.61
2025-07-25,1.6704,0.31
2025-07-28,1.6829,0.75
2025-07-29,1.6813,-0.1
2025-07-30,1.6852,0.23
2025-07-31,1.6856,0.02
2025-08-01,1.6523,-1.98
2025-08-04,1.6885,2.19
2025-08-05,1.6751,-0.79
2025-08-06,1.6988,1.41
2025-08-07,1.7042,0.32
2025-08-08,1.7255,1.25
2025-08-11,1.7175,-0.46
2025-08-12,1.747,1.72
2025-08-13,1.7412,-0.33
2025-08-14,1.7394,-0.1
2025-08-15,1.7286,-0.62
2025-08-18,1.7242,-0.25
2025-08-19,1.6919,-1.87
2025-08-20,1.6795,-0.73
2025-08-21,1.6717,-0.46
2025-08-22,1.7011,1.76
2025-08-25,1.6967,-0.26
2025-08-26,1.7048,0.48
2025-08-27,1.7061,0.08
2025-08-28,1.7201,0.82
2025-08-29,1.6953,-1.44
2025-09-01,1.6961,0.05
2025-09-02,1.6829,-0.78
2025-09-03,1.7104,1.63
2025-09-04,1.7221,0.68
2025-09-05,1.7303,0.48
2025-09-08,1.7412,0.63
2025-09-09,1.7476,0.37
2025-09-10,1.761,0.77
2025-09-11,1.7661,0.29
2025-09-12,1.776,0.56
2025-09-15,1.7992,1.31
2025-09-16,1.7958,-0.19
2025-09-17,1.784,-0.66
2025-09-18,1.8133,1.64
2025-09-19,1.8288,0.85
2025-09-22,1.8409,0.66
2025-09-23,1.826,-0.81
2025-09-24,1.8175,-0.47
2025-09-25,1.8148,-0.15
2025-09-26,1.8193,0.25
2025-09-29,1.8224,0.17
2025-09-30,1.8284,0.33
2025-10-09,1.8674,2.13
2025-10-10,1.7922,-4.03
2025-10-13,1.8408,2.71
2025-10-14,1.8212,-1.06
2025-10-15,1.8428,1.19
2025-10-16,1.8408,-0.11
2025-10-17,1.8488,0.43
2025-10-20,1.8755,1.44
2025-10-21,1.8654,-0.54
2025-10-22,1.8505,-0.8
2025-10-23,1.8686,0.98
2025-10-24,1.9008,1.72
2025-10-27,1.9418,2.16
2025-10-28,1.958,0.83
2025-10-29,1.9793,1.09
2025-10-30,1.9463,-1.67
2025-10-31,1.9415,-0.25
2025-11-03,1.946,0.23
2025-11-04,1.8988,-2.43
2025-11-05,1.9146,0.83
2025-11-06,1.8788,-1.87
2025-11-07,1.8671,-0.62
2025-11-10,1.919,2.78
2025-11-11,1.9052,-0.72
2025-11-12,1.9015,-0.19
2025-11-13,1.8566,-2.36
2025-11-14,1.8609,0.23
2025-11-17,1.8466,-0.77
2025-11-18,1.8232,-1.27
2025-11-19,1.842,1.03
2025-11-20,1.7972,-2.43
2025-11-21,1.8094,0.68
2025-11-24,1.8732,3.53
2025-11-25,1.8843,0.59
2025-11-26,1.9003,0.85
2025-11-27,1.8998,-0.03
2025-11-28,1.9152,0.81
2025-12-01,1.9057,-0.5
2025-12-02,1.9248,1.0
2025-12-03,1.9278,0.16
2025-12-04,1.9297,0.1
2025-12-05,1.9454,0.81
2025-12-08,1.9485,0.16
2025-12-09,1.9544,0.3
2025-12-10,1.9609,0.33
2025-12-11,1.946,-0.76
2025-12-12,1.8921,-2.77
2025-12-15,1.8746,-0.92
2025-12-16,1.878,0.18
2025-12-17,1.8313,-2.49
2025-12-18,1.8643,1.8
2025-12-19,1.8952,1.66
2025-12-22,1.9046,0.5
2025-12-23,1.9182,0.71
2025-12-24,1.9209,0.14
2025-12-25,1.9188,-0.11
2025-12-26,1.918,-0.04
2025-12-29,1.9087,-0.48
2025-12-30,1.9062,-0.13
2025-12-31,1.8883,-0.94
2026-01-05,1.8986,0.55
2026-01-06,1.9132,0.77
2026-01-07,1.9174,0.22
2026-01-08,1.895,-1.17
2026-01-09,1.9158,1.1
2026-01-12,1.919,0.17
2026-01-13,1.9176,-0.07
2026-01-14,1.8908,-1.4
2026-01-15,1.8964,0.3
2026-01-16,1.8976,0.06
2026-01-19,1.8968,-0.04
2026-01-20,1.8484,-2.55
2026-01-21,1.8721,1.28
2026-01-22,1.8901,0.96
2026-01-23,1.8931,0.16
