代码,名称,最新价,IOPV实时估值,基金折价率,涨跌额,涨跌幅,成交量,成交额,开盘价,最高价,最低价,昨收,振幅,换手率,量比,委比,外盘,内盘,主力净流入-净额,主力净流入-净占比,超大单净流入-净额,超大单净流入-净占比,大单净流入-净额,大单净流入-净占比,中单净流入-净额,中单净流入-净占比,小单净流入-净额,小单净流入-净占比,现手,买一,卖一,最新份额,流通市值,总市值,数据日期,更新时间
589020,科创半导体设备ETF鹏华,2.032,2.0277,-0.21,0.096,4.96,1346386.0,269558669.0,1.9,2.037,1.898,1.936,7.18,29.26,0.99,-20.66,751481.0,594905.0,16610385.0,6.16,1531875.0,0.57,15078510.0,5.59,-47424.0,-0.02,-16562961.0,-6.14,1500.0,2.03,2.031,460219008.0,935165024,935165024,2026-06-04,2026-06-04 16:11:49+08:00
588170,科创半导体ETF华夏,2.516,2.5124,-0.14,0.115,4.79,9252751.0,2296111188.0,2.343,2.525,2.343,2.401,7.58,21.54,0.92,10.75,4945236.0,4307515.0,219736560.0,9.57,47876448.0,2.09,171860112.0,7.48,-85076192.0,-3.71,-134660351.0,-5.86,-227.0,2.516,2.517,4295149056.0,10806595025,10806595025,2026-06-04,2026-06-04 16:12:01+08:00
589180,科创新材料ETF汇添富,1.904,1.9003,-0.19,0.084,4.62,38671.0,7277157.0,1.8,1.909,1.8,1.82,5.99,22.33,0.98,30.39,24504.0,14167.0,-1152845.0,-15.84,0.0,0.0,-1152845.0,-15.84,787902.0,10.83,364943.0,5.01,322.0,1.903,1.91,17318000.0,32973472,32973472,2026-06-04,2026-06-04 16:11:41+08:00
588710,科创半导体设备ETF华泰柏瑞,2.599,2.6016,0.1,0.114,4.59,2203443.0,567563868.0,2.425,2.615,2.425,2.485,7.65,27.4,1.14,-25.88,1370686.0,832757.0,23277603.0,4.1,-18516211.0,-3.26,41793814.0,7.36,6277973.0,1.11,-29555576.0,-5.21,-139.0,2.599,2.6,804295008.0,2090362726,2090362726,2026-06-04,2026-06-04 16:11:52+08:00
588010,科创新材料ETF博时,1.161,1.1578,-0.28,0.048,4.31,465134.0,53273578.0,1.1,1.165,1.096,1.113,6.2,21.84,1.29,-15.34,323795.0,141339.0,-10268257.0,-19.27,-17086061.0,-32.07,6817804.0,12.8,8417202.0,15.8,1851055.0,3.47,10.0,1.159,1.16,212925800.0,247206854,247206854,2026-06-04,2026-06-04 16:11:50+08:00
588160,科创新材料ETF南方,1.184,1.1826,-0.12,0.048,4.23,138859.0,16252064.0,1.116,1.188,1.114,1.136,6.51,8.0,0.85,-56.44,78098.0,60761.0,-1306618.0,-8.04,-1421711.0,-8.75,115093.0,0.71,1224414.0,7.53,82205.0,0.51,84.0,1.182,1.183,173496000.0,205419264,205419264,2026-06-04,2026-06-04 16:11:44+08:00
159153,消费电子ETF鹏华,1.43,1.4124,-1.25,0.056,4.08,226873.0,31791764.534,1.354,1.43,1.35,1.374,5.82,29.19,1.12,84.48,132964.0,93909.0,-1506689.0,-4.74,0.0,0.0,-1506689.0,-4.74,426082.0,1.34,1080608.0,3.4,-2024.0,1.43,1.431,77725988.0,111148163,111148163,2026-06-04,2026-06-04 15:34:39+08:00
159558,半导体设备ETF易方达,2.915,2.9148,-0.01,0.109,3.88,2475349.0,714746442.639,2.749,2.931,2.749,2.806,6.49,8.7,0.82,7.76,1336255.0,1139094.0,113110378.0,15.83,147723618.0,20.67,-34613240.0,-4.84,-54505740.0,-7.63,-58604638.0,-8.2,18370.0,2.914,2.915,2844854640.0,8292751276,8292751276,2026-06-04,2026-06-04 15:34:21+08:00
560780,半导体设备ETF广发,2.742,2.7403,-0.06,0.102,3.86,1891048.0,514857779.0,2.59,2.76,2.59,2.64,6.44,11.02,0.9,19.81,1057040.0,834008.0,30712854.0,5.97,58191634.0,11.3,-27478780.0,-5.34,-8681253.0,-1.69,-22031603.0,-4.28,-55.0,2.741,2.743,1716496000.0,4706632032,4706632032,2026-06-04,2026-06-04 16:11:33+08:00
562590,半导体设备ETF华夏,2.621,2.6209,0.0,0.096,3.8,1616831.0,416542914.0,2.478,2.635,2.476,2.525,6.3,11.43,0.97,26.23,739761.0,877070.0,28164391.0,6.76,14844681.0,3.56,13319710.0,3.2,-8941864.0,-2.15,-19222526.0,-4.61,316.0,2.619,2.62,1414663008.0,3707831744,3707831744,2026-06-04,2026-06-04 16:11:42+08:00
